model-1664982448,1664982452.312,0.47,0.2501,0.49,0.2517
model-1664982448,1664982452.369,0.54,0.2471,0.57,0.2459
model-1664982448,1664982452.411,0.47,0.2702,0.5,0.2501
model-1664982448,1664982452.473,0.49,0.2502,0.53,0.2516
model-1664982448,1664982452.533,0.45,0.2603,0.43,0.258
model-1664982448,1664982452.585,0.45,0.2555,0.55,0.2488
model-1664982448,1664982452.631,0.47,0.2513,0.48,0.2501
model-1664982448,1664982452.678,0.47,0.2501,0.5,0.2502
model-1664982448,1664982452.726,0.46,0.2507,0.5,0.2501
model-1664982448,1664982452.79,0.45,0.2505,0.45,0.2501
model-1664982448,1664982452.829,0.47,0.25,0.53,0.2498
model-1664982448,1664982452.889,0.47,0.2501,0.53,0.2498
model-1664982448,1664982452.928,0.44,0.2501,0.51,0.2499
model-1664982448,1664982452.986,0.56,0.2499,0.48,0.25
model-1664982448,1664982453.04,0.41,0.2505,0.54,0.2498
model-1664982448,1664982453.091,0.52,0.2498,0.52,0.2499
model-1664982448,1664982453.141,0.54,0.2497,0.5,0.2499
model-1664982448,1664982453.19,0.47,0.2501,0.46,0.2501
model-1664982448,1664982453.238,0.51,0.2499,0.52,0.2499
model-1664982448,1664982453.29,0.57,0.2496,0.44,0.2502
model-1664982448,1664982453.329,0.48,0.25,0.48,0.2499
model-1664982448,1664982453.376,0.47,0.2499,0.53,0.2498
model-1664982448,1664982453.436,0.53,0.2495,0.52,0.2499
model-1664982448,1664982453.478,0.5,0.2498,0.63,0.2491
model-1664982448,1664982453.536,0.58,0.2495,0.5,0.2496
model-1664982448,1664982453.578,0.5,0.2497,0.51,0.2495
model-1664982448,1664982453.635,0.43,0.2504,0.47,0.2497
model-1664982448,1664982453.678,0.48,0.2497,0.53,0.2496
model-1664982448,1664982453.728,0.55,0.2495,0.52,0.25
model-1664982448,1664982453.787,0.55,0.2495,0.57,0.2493
model-1664982448,1664982453.829,0.58,0.2493,0.5,0.2505
model-1664982448,1664982453.889,0.61,0.2482,0.51,0.2493
model-1664982448,1664982453.929,0.49,0.2512,0.43,0.2519
model-1664982448,1664982453.976,0.51,0.249,0.52,0.2495
